Easting,Northing,Elevation,Alteration,Cu,Au,Mo,As,Bn,Cp,Cc,Cv,En,Py,Pyr,Mol,Ga,Sph,TS
650865.92,4766171.5,76.54,5,1.18,0.66,316,14.9,5000,17500,0,0,0,25000,0,2500,0,0,50000
650881.8,4766173.33,42.06,5,0.74,0.44,57.5,13.5,5250,11200,0,0,0,17500,0,1050,0,0,35000
650888.48,4766174.1,27.55,5,0.64,0.4,102,2.8,4000,14000,0,0,0,20000,0,2000,0,0,40000
650916.82,4766177.19,-34.19,5,0.47,0.18,13.65,2.6,3000,10500,0,0,0,15000,0,1500,0,0,30000
650917.65,4766177.26,-36.01,5,0.41,0.21,5.89,12.8,1200,13800,0,0,0,15000,0,0,0,0,30000
650997.72,4766185.2,-214.73,5,0.76,0.27,319,4.8,0,16000,0,0,0,20000,0,4000,0,0,40000
650998.52,4766185.28,-216.56,5,1.04,0.21,278,3.2,0,16000,0,0,0,20000,0,4000,0,0,40000
651043.48,4766190.06,-319.02,5,0.15,0.03,65.4,3.5,0,6750,0,0,0,7500,0,750,0,0,15000
650850.04,4765727.53,226.82,5,0.15,0.02,14.15,6.4,0,7500,0,0,0,7500,0,0,0,0,15000
650851.58,4765727.47,223.13,5,0.18,0.03,13.7,2.8,0,7500,0,0,0,7500,0,0,0,0,15000
650765.27,4766162.83,298.62,5,0.6,0.32,10.15,6.9,600,8000,0,0,0,10800,0,600,0,0,20000
650775.65,4766163.57,274.8,5,0.85,0.28,28,74.7,3000,10500,0,0,0,16500,0,0,0,0,30000
650833.88,4766168.13,145.37,5,0.59,0.2,33.9,5.9,750,10000,0,0,0,13750,0,500,0,0,25000
650804.02,4766165.49,210.83,3,0.6,0.26,22.7,60.8,1200,6000,0,0,0,52200,0,600,0,0,60000
650805.66,4766165.63,207.19,3,0.56,0.2,57.6,18.3,800,18800,0,0,0,20000,0,400,0,0,40000
650910.2,4766176.58,-19.64,5,0.55,0.46,17.9,6.2,1200,16800,0,0,0,22000,0,0,0,0,40000
650993.69,4766184.8,-205.58,5,0.14,0.07,72.3,7,0,7500,0,0,0,11400,0,1100,0,0,20000
651040.28,4766189.69,-311.7,5,0.22,0.02,8.17,2.7,0,8000,0,0,0,11400,0,600,0,0,20000
651045.88,4766190.34,-324.52,5,0.22,0.04,16.95,4.1,0,6000,0,0,0,8550,0,450,0,0,15000
650734.23,4766160.77,370.15,5,0.75,0.2,34,9.3,0,12000,0,0,0,18000,0,0,0,0,30000
650744.55,4766161.39,346.29,5,0.58,0.54,16.95,16.5,0,12000,0,0,0,18000,0,0,0,0,30000
650748.53,4766161.64,337.12,5,0.43,0.28,9.46,22.6,0,12000,0,0,0,18000,0,0,0,0,30000
650760.49,4766162.46,309.62,5,0.59,0.16,76.3,9,1000,6000,0,0,0,12000,0,1000,0,0,20000
